config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C07,2026-02-27_exp_18,game_outcome,crewmate_win,,,,"{""winner"": 2, ""winner_reason"": ""Crewmates win! (Impostors eliminated)"", ""timestep"": 6, ""human_role"": ""crewmate"", ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_18\structured-v1\outcomes_v1.jsonl,1,2026-02-27T13:50:58.026700Z,
C07,2026-02-27_exp_18,game_duration,6,,,,"{""timestep"": 6}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_18\structured-v1\outcomes_v1.jsonl,1,2026-02-27T13:50:58.026700Z,
C07,2026-02-27_exp_18,survivors_at_end,4,2026-02-27_exp_18:game:1:event:69,,,"{""alive_players"": 4}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_18\structured-v1\events_v1.jsonl,69,2026-02-27T13:50:58.019044Z,
C07,2026-02-27_exp_3,game_outcome,impostor_win,,,,"{""winner"": 1, ""winner_reason"": ""Impostors win! (Crewmates being outnumbered or tied to impostors))"", ""timestep"": 9, ""human_role"": ""crewmate"", ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_3\structured-v1\outcomes_v1.jsonl,1,2026-02-27T15:39:43.803185Z,
C07,2026-02-27_exp_3,game_duration,9,,,,"{""timestep"": 9}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_3\structured-v1\outcomes_v1.jsonl,1,2026-02-27T15:39:43.803185Z,
C07,2026-02-27_exp_3,survivors_at_end,4,2026-02-27_exp_3:game:1:event:70,,,"{""alive_players"": 4}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_3\structured-v1\events_v1.jsonl,70,2026-02-27T15:39:43.644075Z,
C07,2026-02-27_exp_4,game_outcome,crewmate_win,,,,"{""winner"": 3, ""winner_reason"": ""Crewmates win! (All task completed)"", ""timestep"": 37, ""human_role"": ""crewmate"", ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_4\structured-v1\outcomes_v1.jsonl,1,2026-02-27T16:00:39.057165Z,
C07,2026-02-27_exp_4,game_duration,37,,,,"{""timestep"": 37}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_4\structured-v1\outcomes_v1.jsonl,1,2026-02-27T16:00:39.057165Z,
C07,2026-02-27_exp_4,survivors_at_end,4,2026-02-27_exp_4:game:2:event:198,,,"{""alive_players"": 4}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_4\structured-v1\events_v1.jsonl,198,2026-02-27T16:00:39.053859Z,
C07,2026-03-01_exp_0,game_outcome,crewmate_win,,,,"{""winner"": 3, ""winner_reason"": ""Crewmates win! (All task completed)"", ""timestep"": 40, ""human_role"": ""crewmate"", ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-03-01_exp_0\structured-v1\outcomes_v1.jsonl,1,2026-02-28T21:23:23.238447Z,
C07,2026-03-01_exp_0,game_duration,40,,,,"{""timestep"": 40}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-03-01_exp_0\structured-v1\outcomes_v1.jsonl,1,2026-02-28T21:23:23.238447Z,
