config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C08,2026-03-01_exp_10,kill_event,witnessed,2026-03-01_exp_10:game:4:event:5,Player 5: pink,Impostor,"{""victim"": ""Player 7: lime"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 6: purple""], ""witness_count"": 1, ""kill_timing_norm"": 0.0, ""kill_timing_cat"": ""early"", ""game_duration"": 27}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,5,2026-03-01T08:15:22.674565Z,
C08,2026-03-01_exp_10,impostor_survival_after_witness,survived,"[""2026-03-01_exp_10:game:4:event:5"", ""2026-03-01_exp_10:game:4:event:102""]",Player 5: pink,Impostor,"{""kill_ev_id"": ""2026-03-01_exp_10:game:4:event:5"", ""victim"": ""Player 7: lime"", ""kill_ts"": 0, ""external_witnesses"": [""Player 6: purple""], ""meeting_id"": 1, ""voteout_ev_id"": ""2026-03-01_exp_10:game:4:event:102"", ""ejected_player"": null, ""votes_for_killer"": 2, ""total_votes"": 6, ""killer_survived"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,5,2026-03-01T08:15:22.674565Z,kill_event_id -> witness_names -> meeting_id -> votes_for_killer -> total_votes -> killer_survived
C08,2026-03-01_exp_10,kill_event,unwitnessed,2026-03-01_exp_10:game:4:event:155,Player 5: pink,Impostor,"{""victim"": ""Player 1: red"", ""kill_timestep"": 22, ""external_witnesses"": [], ""witness_count"": 0, ""kill_timing_norm"": 0.8148, ""kill_timing_cat"": ""late"", ""game_duration"": 27}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_10\structured-v1\events_v1.jsonl,155,2026-03-01T08:33:23.492114Z,
C08,2026-03-01_exp_11,kill_event,witnessed,2026-03-01_exp_11:game:5:event:3,Player 3: white,Impostor,"{""victim"": ""Player 7: pink"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 2: black"", ""Player 4: yellow"", ""Player 5: brown"", ""Player 6: purple""], ""witness_count"": 4, ""kill_timing_norm"": 0.0, ""kill_timing_cat"": ""early"", ""game_duration"": 9}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_11\structured-v1\events_v1.jsonl,3,2026-03-01T08:48:22.065621Z,
C08,2026-03-01_exp_11,impostor_survival_after_witness,survived,"[""2026-03-01_exp_11:game:5:event:3"", ""2026-03-01_exp_11:game:5:event:59""]",Player 3: white,Impostor,"{""kill_ev_id"": ""2026-03-01_exp_11:game:5:event:3"", ""victim"": ""Player 7: pink"", ""kill_ts"": 0, ""external_witnesses"": [""Player 2: black"", ""Player 4: yellow"", ""Player 5: brown"", ""Player 6: purple""], ""meeting_id"": 1, ""voteout_ev_id"": ""2026-03-01_exp_11:game:5:event:59"", ""ejected_player"": null, ""votes_for_killer"": 2, ""total_votes"": 5, ""killer_survived"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_11\structured-v1\events_v1.jsonl,3,2026-03-01T08:48:22.065621Z,kill_event_id -> witness_names -> meeting_id -> votes_for_killer -> total_votes -> killer_survived
C08,2026-03-01_exp_11,kill_event,unwitnessed,2026-03-01_exp_11:game:5:event:33,Player 3: white,Impostor,"{""victim"": ""Player 2: black"", ""kill_timestep"": 5, ""external_witnesses"": [], ""witness_count"": 0, ""kill_timing_norm"": 0.5556, ""kill_timing_cat"": ""mid"", ""game_duration"": 9}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_11\structured-v1\events_v1.jsonl,33,2026-03-01T08:51:08.942946Z,
C08,2026-03-01_exp_11,kill_event,witnessed,2026-03-01_exp_11:game:5:event:61,Player 3: white,Impostor,"{""victim"": ""Player 4: yellow"", ""kill_timestep"": 8, ""external_witnesses"": [""Player 5: brown"", ""Player 6: purple""], ""witness_count"": 2, ""kill_timing_norm"": 0.8889, ""kill_timing_cat"": ""late"", ""game_duration"": 9}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_11\structured-v1\events_v1.jsonl,61,2026-03-01T09:01:44.762513Z,
C08,2026-03-01_exp_11,impostor_survival_after_witness,survived_no_meeting,2026-03-01_exp_11:game:5:event:61,Player 3: white,Impostor,"{""kill_ev_id"": ""2026-03-01_exp_11:game:5:event:61"", ""victim"": ""Player 4: yellow"", ""kill_ts"": 8, ""external_witnesses"": [""Player 5: brown"", ""Player 6: purple""], ""meeting_id"": null, ""ejected_player"": null, ""killer_survived"": true, ""reason"": ""no_meeting_after_kill""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_11\structured-v1\events_v1.jsonl,61,2026-03-01T09:01:44.762513Z,game ended before next meeting
C08,2026-03-01_exp_12,kill_event,witnessed,2026-03-01_exp_12:game:6:event:4,Player 4: blue,Impostor,"{""victim"": ""Player 7: lime"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 5: purple"", ""Player 6: green""], ""witness_count"": 2, ""kill_timing_norm"": 0.0, ""kill_timing_cat"": ""early"", ""game_duration"": 9}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_12\structured-v1\events_v1.jsonl,4,2026-03-01T09:02:43.242881Z,
C08,2026-03-01_exp_12,impostor_survival_after_witness,survived,"[""2026-03-01_exp_12:game:6:event:4"", ""2026-03-01_exp_12:game:6:event:66""]",Player 4: blue,Impostor,"{""kill_ev_id"": ""2026-03-01_exp_12:game:6:event:4"", ""victim"": ""Player 7: lime"", ""kill_ts"": 0, ""external_witnesses"": [""Player 5: purple"", ""Player 6: green""], ""meeting_id"": 1, ""voteout_ev_id"": ""2026-03-01_exp_12:game:6:event:66"", ""ejected_player"": ""Player 6: green"", ""votes_for_killer"": 1, ""total_votes"": 5, ""killer_survived"": true}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_impostor\2026-03-01_exp_12\structured-v1\events_v1.jsonl,4,2026-03-01T09:02:43.242881Z,kill_event_id -> witness_names -> meeting_id -> votes_for_killer -> total_votes -> killer_survived
