config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C03,2026-02-27_exp_11,task_completed_v2,human,2026-02-27_exp_11:game:1:event:5,Player 5: green,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_11\structured-v1\events_v1.jsonl,5,2026-02-27T07:42:26.336834Z,
C03,2026-02-27_exp_11,task_completed_v2,human,2026-02-27_exp_11:game:1:event:12,Player 5: green,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_11\structured-v1\events_v1.jsonl,12,2026-02-27T07:42:41.846746Z,
C03,2026-02-27_exp_11,task_completed_v2,llm,2026-02-27_exp_11:game:1:event:16,Player 2: red,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_11\structured-v1\events_v1.jsonl,16,2026-02-27T07:42:49.642702Z,
C03,2026-02-27_exp_11,task_completed_v2,human,2026-02-27_exp_11:game:1:event:57,Player 5: green,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_11\structured-v1\events_v1.jsonl,57,2026-02-27T07:46:34.354729Z,
C03,2026-02-27_exp_11,task_completed_v2,human,2026-02-27_exp_11:game:1:event:67,Player 5: green,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_11\structured-v1\events_v1.jsonl,67,2026-02-27T07:47:07.664512Z,
C03,2026-02-27_exp_11,task_completed_v2,llm,2026-02-27_exp_11:game:1:event:78,Player 6: lime,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_11\structured-v1\events_v1.jsonl,78,2026-02-27T07:47:32.843405Z,
C03,2026-02-27_exp_6,task_completed_v2,llm,2026-02-27_exp_6:game:1:event:6,Player 6: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_6\structured-v1\events_v1.jsonl,6,2026-02-27T07:04:38.991923Z,
C03,2026-02-27_exp_6,task_completed_v2,human,2026-02-27_exp_6:game:1:event:14,Player 1: red,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_6\structured-v1\events_v1.jsonl,14,2026-02-27T07:05:10.963387Z,
C03,2026-02-27_exp_6,task_completed_v2,llm,2026-02-27_exp_6:game:1:event:18,Player 5: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_6\structured-v1\events_v1.jsonl,18,2026-02-27T07:05:19.644146Z,
C03,2026-02-27_exp_6,task_completed_v2,llm,2026-02-27_exp_6:game:1:event:21,Player 2: yellow,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_6\structured-v1\events_v1.jsonl,21,2026-02-27T07:05:37.946708Z,
C03,2026-02-27_exp_6,task_completed_v2,llm,2026-02-27_exp_6:game:1:event:40,Player 5: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_6\structured-v1\events_v1.jsonl,40,2026-02-27T07:06:22.150325Z,
C03,2026-02-27_exp_7,task_completed_v2,human,2026-02-27_exp_7:game:2:event:16,Player 2: orange,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_7\structured-v1\events_v1.jsonl,16,2026-02-27T07:08:10.479490Z,
