config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C07,2026-02-27_exp_18,kill_event_v2,witnessed,2026-02-27_exp_18:game:1:event:2,Player 2: cyan,Impostor,llm,"{""victim"": ""Player 6: green"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 3: brown"", ""Player 4: orange"", ""Player 5: white"", ""Player 7: red""], ""kill_timing_cat"": ""early"", ""game_duration"": 6, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_18\structured-v1\events_v1.jsonl,2,2026-02-27T13:40:52.777591Z,
C07,2026-02-27_exp_18,kill_event_v2,witnessed,2026-02-27_exp_18:game:1:event:3,Player 3: brown,Impostor,llm,"{""victim"": ""Player 7: red"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 2: cyan"", ""Player 4: orange"", ""Player 5: white""], ""kill_timing_cat"": ""early"", ""game_duration"": 6, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_18\structured-v1\events_v1.jsonl,3,2026-02-27T13:40:58.048819Z,
C07,2026-02-27_exp_3,kill_event_v2,witnessed,2026-02-27_exp_3:game:1:event:12,Player 5: blue,Impostor,llm,"{""victim"": ""Player 3: black"", ""kill_timestep"": 1, ""external_witnesses"": [""Player 4: purple"", ""Player 6: lime"", ""Player 7: white""], ""kill_timing_cat"": ""early"", ""game_duration"": 9, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_3\structured-v1\events_v1.jsonl,12,2026-02-27T15:37:39.580003Z,
C07,2026-02-27_exp_3,kill_event_v2,witnessed,2026-02-27_exp_3:game:1:event:67,Player 1: orange,Impostor,llm,"{""victim"": ""Player 6: lime"", ""kill_timestep"": 8, ""external_witnesses"": [""Player 2: yellow"", ""Player 4: purple"", ""Player 5: blue""], ""kill_timing_cat"": ""late"", ""game_duration"": 9, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_3\structured-v1\events_v1.jsonl,67,2026-02-27T15:39:43.435705Z,
C07,2026-02-27_exp_4,kill_event_v2,witnessed,2026-02-27_exp_4:game:2:event:24,Player 3: orange,Impostor,llm,"{""victim"": ""Player 4: white"", ""kill_timestep"": 3, ""external_witnesses"": [""Player 5: red"", ""Player 6: green""], ""kill_timing_cat"": ""early"", ""game_duration"": 37, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_4\structured-v1\events_v1.jsonl,24,2026-02-27T15:48:54.020986Z,
C07,2026-02-27_exp_4,kill_event_v2,witnessed,2026-02-27_exp_4:game:2:event:146,Player 7: blue,Impostor,llm,"{""victim"": ""Player 1: yellow"", ""kill_timestep"": 23, ""external_witnesses"": [""Player 5: red""], ""kill_timing_cat"": ""mid"", ""game_duration"": 37, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-02-27_exp_4\structured-v1\events_v1.jsonl,146,2026-02-27T15:56:31.943808Z,
C07,2026-03-01_exp_0,kill_event_v2,witnessed,2026-03-01_exp_0:game:1:event:2,Player 2: pink,Impostor,llm,"{""victim"": ""Player 3: orange"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 4: blue"", ""Player 5: yellow"", ""Player 6: lime"", ""Player 7: red""], ""kill_timing_cat"": ""early"", ""game_duration"": 40, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-03-01_exp_0\structured-v1\events_v1.jsonl,2,2026-02-28T19:48:15.207669Z,
C07,2026-03-01_exp_1,kill_event_v2,witnessed,2026-03-01_exp_1:game:2:event:4,Player 4: brown,Impostor,llm,"{""victim"": ""Player 5: cyan"", ""kill_timestep"": 0, ""external_witnesses"": [""Player 6: white"", ""Player 7: orange""], ""kill_timing_cat"": ""early"", ""game_duration"": 6, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-03-01_exp_1\structured-v1\events_v1.jsonl,4,2026-02-28T21:23:43.226812Z,
C07,2026-03-01_exp_1,kill_event_v2,witnessed,2026-03-01_exp_1:game:2:event:28,Player 4: brown,Impostor,llm,"{""victim"": ""Player 3: black"", ""kill_timestep"": 4, ""external_witnesses"": [""Player 1: blue"", ""Player 7: orange""], ""kill_timing_cat"": ""late"", ""game_duration"": 6, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-03-01_exp_1\structured-v1\events_v1.jsonl,28,2026-02-28T21:25:06.904346Z,
C07,2026-03-01_exp_2,kill_event_v2,unwitnessed,2026-03-01_exp_2:game:3:event:18,Player 4: lime,Impostor,llm,"{""victim"": ""Player 3: brown"", ""kill_timestep"": 2, ""external_witnesses"": [], ""kill_timing_cat"": ""early"", ""game_duration"": 28, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\amongus_llama_human_crewmate\2026-03-01_exp_2\structured-v1\events_v1.jsonl,18,2026-02-28T21:32:07.257460Z,
