config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:1,Player 1: red,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,1,2026-02-26T13:55:54.291676Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:2,Player 2: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,2,2026-02-26T13:55:59.987702Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:3,Player 3: yellow,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,3,2026-02-26T13:56:06.455095Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:4,Player 4: orange,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,4,2026-02-26T13:56:13.249685Z,
C01,2026-02-26_exp_11,task_completed_v2,human,2026-02-26_exp_11:game:1:event:7,Player 7: lime,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,7,2026-02-26T13:57:14.234288Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:10,Player 3: yellow,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,10,2026-02-26T13:57:32.859601Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:15,Player 1: red,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,15,2026-02-26T13:59:12.059181Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:16,Player 2: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,16,2026-02-26T13:59:18.137864Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:22,Player 1: red,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,22,2026-02-26T13:59:50.706156Z,
C01,2026-02-26_exp_11,task_completed_v2,llm,2026-02-26_exp_11:game:1:event:24,Player 4: orange,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_11\structured-v1\events_v1.jsonl,24,2026-02-26T14:00:01.336460Z,
