config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C05,2026-02-28_exp_0,game_outcome,impostor_win,,,,"{""winner"": 1, ""winner_reason"": ""Impostors win! (Crewmates being outnumbered or tied to impostors))"", ""timestep"": 15, ""human_role"": ""crewmate"", ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_0\structured-v1\outcomes_v1.jsonl,1,2026-02-28T04:52:49.151659Z,
C05,2026-02-28_exp_0,game_duration,15,,,,"{""timestep"": 15}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_0\structured-v1\outcomes_v1.jsonl,1,2026-02-28T04:52:49.151659Z,
C05,2026-02-28_exp_0,survivors_at_end,4,2026-02-28_exp_0:game:2:event:96,,,"{""alive_players"": 4}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_0\structured-v1\events_v1.jsonl,96,2026-02-28T04:52:49.148032Z,
C05,2026-02-28_exp_1,game_outcome,impostor_win,,,,"{""winner"": 1, ""winner_reason"": ""Impostors win! (Crewmates being outnumbered or tied to impostors))"", ""timestep"": 42, ""human_role"": ""crewmate"", ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_1\structured-v1\outcomes_v1.jsonl,1,2026-02-28T05:19:40.676806Z,
C05,2026-02-28_exp_1,game_duration,42,,,,"{""timestep"": 42}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_1\structured-v1\outcomes_v1.jsonl,1,2026-02-28T05:19:40.676806Z,
C05,2026-02-28_exp_1,survivors_at_end,5,2026-02-28_exp_1:game:3:event:292,,,"{""alive_players"": 5}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_1\structured-v1\events_v1.jsonl,292,2026-02-28T05:19:40.669853Z,
C05,2026-02-28_exp_2,game_outcome,crewmate_win,,,,"{""winner"": 2, ""winner_reason"": ""Crewmates win! (Impostors eliminated)"", ""timestep"": 48, ""human_role"": ""crewmate"", ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_2\structured-v1\outcomes_v1.jsonl,1,2026-02-28T05:42:02.458411Z,
C05,2026-02-28_exp_2,game_duration,48,,,,"{""timestep"": 48}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_2\structured-v1\outcomes_v1.jsonl,1,2026-02-28T05:42:02.458411Z,
C05,2026-02-28_exp_2,survivors_at_end,3,2026-02-28_exp_2:game:4:event:335,,,"{""alive_players"": 3}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_2\structured-v1\events_v1.jsonl,335,2026-02-28T05:42:02.453798Z,
C05,2026-02-28_exp_3,game_outcome,impostor_win,,,,"{""winner"": 4, ""winner_reason"": ""Impostors win! (Time limit reached)"", ""timestep"": 50, ""human_role"": ""crewmate"", ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_3\structured-v1\outcomes_v1.jsonl,1,2026-02-28T05:58:33.113684Z,
C05,2026-02-28_exp_3,game_duration,50,,,,"{""timestep"": 50}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_3\structured-v1\outcomes_v1.jsonl,1,2026-02-28T05:58:33.113684Z,
C05,2026-02-28_exp_3,survivors_at_end,4,2026-02-28_exp_3:game:5:event:290,,,"{""alive_players"": 4}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_3\structured-v1\events_v1.jsonl,290,2026-02-28T05:58:33.110014Z,
C05,2026-02-28_exp_4,game_outcome,impostor_win,,,,"{""winner"": 1, ""winner_reason"": ""Impostors win! (Crewmates being outnumbered or tied to impostors))"", ""timestep"": 15, ""human_role"": ""crewmate"", ""human_won"": false}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_4\structured-v1\outcomes_v1.jsonl,1,2026-02-28T06:04:28.720272Z,
C05,2026-02-28_exp_4,game_duration,15,,,,"{""timestep"": 15}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_4\structured-v1\outcomes_v1.jsonl,1,2026-02-28T06:04:28.720272Z,
C05,2026-02-28_exp_4,survivors_at_end,5,2026-02-28_exp_4:game:6:event:103,,,"{""alive_players"": 5}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_4\structured-v1\events_v1.jsonl,103,2026-02-28T06:04:28.716473Z,
